# PcbXY Version 1.0
# Date: Sun 28 Jul 2013 22:21:57 GMT UTC
# Author: Richard Barlow
# Title: Power Board - PCB X-Y
# RefDes, Description, Value, X, Y, rotation, top/bottom
# X,Y in mm.  rotation in degrees.
# --------------------------------------------
C209,"sr_0603","sr-c-100n",42.30,30.00,270,top
L300,"ind_2","sr-l-22u-2500ma",98.80,55.60,180,bottom
D100,"SOD123","sr-d-bas40h",28.20,77.60,0,top
Q202,"SOT323","sr-fet-p-mmbf2202pt1",6.61,49.66,270,top
J205,"USB_A_1","sr-cn-usb-a",12.09,82.00,270,bottom
D204,"SOT23","sr-d-mmbz5v6al",20.00,28.71,0,top
R213,"sr_0603","sr-r-330",9.50,53.94,90,top
D205,"SOT23","sr-d-mmbz5v6al",20.00,24.79,180,top
D200,"SOT23","sr-d-mmbz5v6al",11.79,40.00,270,top
D201,"SOT23","sr-d-mmbz5v6al",15.81,40.00,90,top
R232,"sr_0603","sr-r-10k",70.20,79.04,90,top
R323,"sr_0603","sr-r-330",155.10,57.10,90,top
F203,"1206","sr-fuse-r50-1206",11.70,25.80,180,top
D202,"SOT23","sr-d-mmbz5v6al",11.59,59.30,270,top
R200,"sr_0603","sr-r-10k",52.20,93.10,90,top
C204,"sr_0603","sr-c-10n",80.90,75.80,90,top
LED201,"PLCC2","sr-led-red-plcc2",8.60,79.00,180,top
LED207,"PLCC2","sr-led-red-plcc2",127.10,41.90,0,top
R214,"sr_0603","sr-r-100k",74.00,90.80,90,top
R229,"sr_0603","sr-r-10k",62.64,18.00,0,top
R230,"sr_0603","sr-r-10k",62.64,19.90,0,top
U204,"SO8","sr-ic-at24c01",56.70,18.00,90,top
R226,"sr_0603","sr-r-330",155.10,61.60,90,top
TP200,"Test_Point","sr-nothing",66.10,20.70,0,top
R201,"sr_0603","sr-r-10k",83.30,78.70,90,top
R221,"sr_0603","sr-r-330",11.90,79.00,90,top
C203,"sr_0603","sr-c-10n",83.30,75.80,90,top
C211,"sr_0603","sr-c-100n",56.70,14.40,180,top
Q201,"SOT323","sr-fet-n-bsh121",37.99,30.09,270,top
X201,"xtal_smd_1","sr-xtal-8m",106.20,71.63,90,bottom
R241,"sr_0603","sr-r-330",123.70,52.90,90,top
R246,"sr_0603","sr-r-10k",72.44,76.70,0,top
R215,"sr_0603","sr-r-100k",73.30,61.60,0,top
R202,"sr_0603","sr-r-10k",80.90,78.70,90,top
R228,"sr_0603","sr-r-10k",62.64,16.10,0,top
R208,"sr_0603","sr-r-100k",97.10,72.56,90,top
R239,"sr_0603","sr-r-10k",69.20,64.80,90,top
LED206,"PLCC2","sr-led-red-plcc2",127.09,52.90,0,top
R206,"1206","sr-r-680-1206",79.20,94.20,180,top
R332,"sr_0603","sr-r-100k",90.25,47.91,90,bottom
R326,"sr_0603","sr-r-3k3",99.70,37.74,90,bottom
R330,"sr_0603","sr-r-2k7",98.10,37.74,270,bottom
R329,"sr_0603","sr-r-3k3",92.65,47.96,90,bottom
R325,"sr_0603","sr-r-30k",105.80,47.34,270,bottom
D305,"SOT23","sr-ic-ts2431",101.41,34.30,0,bottom
Q306,"SOT223","sr-thy-bt148w-600r",108.05,37.01,0,bottom
